Sample in Buffer,Sample in Window,TRIGGER,u_fifo_ctrl/tFpgaRead[63:0],u_fifo_ctrl/tFpgaWrite[63:0],u_fifo_ctrl/tMaxPcLoop[63:0],u_fifo_ctrl/tPcLoop[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
632,632,0,259,1087,771078,94235
633,633,0,259,1087,771078,94235
634,634,0,259,1087,771078,94235
635,635,0,259,1087,771078,94235
636,636,0,259,1087,771078,94235
637,637,0,259,1087,771078,94235
638,638,0,259,1087,771078,94235
639,639,0,259,1087,771078,94235
640,640,0,259,1087,771078,94235
641,641,0,259,1087,771078,94235
642,642,0,259,1087,771078,94235
643,643,0,259,1087,771078,94235
644,644,0,259,1087,771078,94235
645,645,0,259,1087,771078,94235
646,646,0,259,1087,771078,94235
647,647,0,259,1087,771078,94235
648,648,0,259,1087,771078,94235
649,649,0,259,1087,771078,94235
650,650,0,259,1087,771078,94235
651,651,0,259,1087,771078,94235
652,652,0,259,1087,771078,94235
653,653,0,259,1087,771078,94235
654,654,0,259,1087,771078,94235
655,655,0,259,1087,771078,94235
656,656,0,259,1087,771078,94235
657,657,0,259,1087,771078,94235
658,658,0,259,1087,771078,94235
659,659,0,259,1087,771078,94235
660,660,0,259,1087,771078,94235
661,661,0,259,1087,771078,94235
662,662,0,259,1087,771078,94235
663,663,0,259,1087,771078,94235
664,664,0,259,1087,771078,94235
665,665,0,259,1087,771078,94235
666,666,0,259,1087,771078,94235
667,667,0,259,1087,771078,94235
668,668,0,259,1087,771078,94235
669,669,0,259,1087,771078,94235
670,670,0,259,1087,771078,94235
671,671,0,259,1087,771078,94235
672,672,0,259,1087,771078,94235
673,673,0,259,1087,771078,94235
674,674,0,259,1087,771078,94235
675,675,0,259,1087,771078,94235
676,676,0,259,1087,771078,94235
677,677,0,259,1087,771078,94235
678,678,0,259,1087,771078,94235
679,679,0,259,1087,771078,94235
680,680,0,259,1087,771078,94235
681,681,0,259,1087,771078,94235
682,682,0,259,1087,771078,94235
683,683,0,259,1087,771078,94235
684,684,0,259,1087,771078,94235
685,685,0,259,1087,771078,94235
686,686,0,259,1087,771078,94235
687,687,0,259,1087,771078,94235
688,688,0,259,1087,771078,94235
689,689,0,259,1087,771078,94235
690,690,0,259,1087,771078,94235
691,691,0,259,1087,771078,94235
692,692,0,259,1087,771078,94235
693,693,0,259,1087,771078,94235
694,694,0,259,1087,771078,94235
695,695,0,259,1087,771078,94235
696,696,0,259,1087,771078,94235
697,697,0,259,1087,771078,94235
698,698,0,259,1087,771078,94235
699,699,0,259,1087,771078,94235
700,700,0,259,1087,771078,94235
701,701,0,259,1087,771078,94235
702,702,0,259,1087,771078,94235
703,703,0,259,1087,771078,94235
704,704,0,259,1087,771078,94235
705,705,0,259,1087,771078,94235
706,706,0,259,1087,771078,94235
